"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.75992283389592e-15,1.2483363320522,0.459,0.117,3.36743635037645e-11,"24","Inpp5a"
1.84449731778544e-15,1.59666756385946,0.311,0.062,3.52926116785065e-11,"24","2200002D01Rik"
1.87358988441854e-15,0.752844606434006,0.754,0.251,3.58492688484643e-11,"24","Dpp4"
1.91895648053574e-15,2.02235952232038,0.344,0.074,3.67173132985708e-11,"24","Pola2"
1.95200567868024e-15,1.35271465285387,0.836,0.391,3.73496766558678e-11,"24","Spag9"
2.07493210911833e-15,1.77759229404867,0.377,0.088,3.97017509758701e-11,"24","Tjp2"
2.26483685051129e-15,1.44153688711606,0.59,0.194,4.33353882976829e-11,"24","Ppp1r12c"
2.2708667113627e-15,1.72480789491116,0.328,0.069,4.34507636552138e-11,"24","Fbxo32"
2.34820010777888e-15,2.24950022228636,0.443,0.119,4.49304608622411e-11,"24","Timp2"
2.87690914312036e-15,2.20611923576493,0.262,0.047,5.5046779544465e-11,"24","Paqr4"
3.50027716240529e-15,1.48676476550737,0.656,0.24,6.69743032254629e-11,"24","Dusp6"
3.50625381699936e-15,2.15607268910006,0.295,0.058,6.70886605344657e-11,"24","Rgs7bp"
3.7926234202188e-15,2.12666602539185,0.262,0.047,7.25680565224664e-11,"24","Grb10"
3.95065363964778e-15,1.99165749983805,0.344,0.077,7.55918067410206e-11,"24","Ankmy2"
4.36063197080349e-15,1.2748159071865,0.59,0.193,8.3436332129354e-11,"24","Rere"
4.61164981587192e-15,1.57969640116745,0.41,0.101,8.82393075768933e-11,"24","4930503L19Rik"
4.74417440849246e-15,1.27493785141871,0.59,0.189,9.07750331320947e-11,"24","Impad1"
4.81840741554356e-15,1.32686838402956,0.508,0.144,9.21954074890105e-11,"24","Arhgap23"
4.83871006028482e-15,1.07290654029864,0.902,0.42,9.25838782934898e-11,"24","Xiap"
4.87069423836985e-15,1.58286550976293,0.41,0.102,9.31958635569687e-11,"24","Sh3glb2"
4.96006538448819e-15,1.5062312559104,0.475,0.134,9.4905891066797e-11,"24","Rcn2"
5.01629834707037e-15,1.34841347249018,0.836,0.411,9.59818525728445e-11,"24","Klhl24"
5.17902593071227e-15,2.17016050172908,0.574,0.199,9.90954821582487e-11,"24","Ehd4"
5.23464037200005e-15,1.35206122087728,0.574,0.183,1.00159608877849e-10,"24","Dennd6a"
5.23842250694951e-15,1.14119278618803,0.82,0.36,1.00231976247972e-10,"24","Klf3"
5.32599254120248e-15,1.14705421321871,0.656,0.227,1.01907541283368e-10,"24","Clip1"
5.50256729926156e-15,2.20387214915835,0.279,0.053,1.05286122704071e-10,"24","1700047M11Rik"
5.55901376480922e-15,1.38107180153909,0.607,0.21,1.0636616937586e-10,"24","Ralb"
6.14064264542906e-15,1.35627913701089,0.59,0.194,1.1749505637764e-10,"24","Herc2"
6.14311613990733e-15,1.28575671970964,0.656,0.234,1.17542384220987e-10,"24","Itpr2"
6.15685524456477e-15,1.20643970318853,0.672,0.243,1.17805268249502e-10,"24","Tmx3"
6.83106777774915e-15,1.53515353608296,0.508,0.156,1.30705650859452e-10,"24","Nek9"
7.48658466862683e-15,1.77959606915552,0.328,0.07,1.43248311049506e-10,"24","Itgb3"
7.49390396627925e-15,1.85922612254349,0.361,0.082,1.43388358490787e-10,"24","Itpr3"
7.67714443842525e-15,2.08863840595304,0.311,0.066,1.46894481684829e-10,"24","Ap4m1"
8.73476243440028e-15,1.54934741121754,0.508,0.155,1.67130944419815e-10,"24","Map3k3"
9.05703515086078e-15,1.97440451305796,0.393,0.1,1.7329731057657e-10,"24","Tmed4"
9.33850570415115e-15,1.31177705320939,0.656,0.237,1.78682968143228e-10,"24","Nus1"
9.66672075305317e-15,1.53785409005895,0.607,0.207,1.84963034888919e-10,"24","Ccdc88c"
1.00619939567493e-14,1.22287044741327,0.557,0.173,1.92526192368441e-10,"24","Dock4"
1.0408482205743e-14,1.15725054541798,0.459,0.123,1.99155898524687e-10,"24","Vat1"
1.11549539715328e-14,1.11012243425962,0.557,0.164,2.13438889291308e-10,"24","Myo6"
1.12004969918684e-14,0.705886847196035,0.672,0.202,2.14310309442409e-10,"24","Oit3"
1.12952585413147e-14,1.48897077776235,0.607,0.208,2.16123476929515e-10,"24","Dpp8"
1.25866486039214e-14,1.14273965957018,0.689,0.247,2.40832934387431e-10,"24","Lrrc8c"
1.32216763305503e-14,1.86503901897072,0.475,0.14,2.5298355490875e-10,"24","Creb3l2"
1.3542054570553e-14,1.03083278204128,0.721,0.266,2.59113672152961e-10,"24","Tgm2"
1.42185829330642e-14,1.24286175761366,0.672,0.242,2.72058365841251e-10,"24","Mga"
1.42700043893951e-14,1.77394183532352,0.557,0.199,2.73042263986686e-10,"24","Sptlc2"
1.48867571194799e-14,2.13635586597896,0.279,0.055,2.84843210724128e-10,"24","Zbtb39"
1.53491252641042e-14,1.3062241059998,0.541,0.156,2.9369016280337e-10,"24","Tpbgl"
1.65858106915921e-14,1.50341927103058,0.541,0.173,3.17352901772924e-10,"24","Rapgef1"
1.70888379540168e-14,0.761363601813798,0.902,0.401,3.26977825412158e-10,"24","Bst2"
1.95403508566807e-14,1.21661016796579,0.639,0.221,3.73885073291728e-10,"24","Nck1"
1.99475074539462e-14,1.28546311650481,0.738,0.299,3.81675607623806e-10,"24","Smad7"
2.02499557598098e-14,1.44392842028589,0.393,0.098,3.87462653508202e-10,"24","Rtl8a"
2.07621510986272e-14,1.56263288692054,0.459,0.13,3.97262999121132e-10,"24","Plbd2"
2.11554742854301e-14,1.02410677976616,0.59,0.182,4.04788844977419e-10,"24","Ptgs1"
2.25825006212514e-14,1.74248281760851,0.426,0.118,4.32093566887023e-10,"24","Tmbim1"
2.5646165973213e-14,0.991974813665067,0.869,0.421,4.90713739731458e-10,"24","Tubb5"
2.63489540052535e-14,1.36646205959703,0.607,0.213,5.04160885936521e-10,"24","Fryl"
2.9934011172049e-14,1.35125969063006,0.689,0.265,5.72757369765985e-10,"24","Prrc2b"
3.00204646089298e-14,1.16323466887635,0.852,0.407,5.74411569827262e-10,"24","Tmem30a"
3.01310483649724e-14,1.55709138818756,0.41,0.104,5.76527479415382e-10,"24","Zbtb46"
3.02655506338654e-14,1.84595256301588,0.344,0.079,5.7910104582838e-10,"24","Herc3"
3.34890138928371e-14,1.59420318591309,0.59,0.207,6.40778791825545e-10,"24","Atf7"
3.98040992040148e-14,1.71450003169973,0.344,0.078,7.61611634169619e-10,"24","Tead1"
4.01603569776482e-14,1.31348120055201,0.639,0.237,7.6842827041032e-10,"24","Nbeal1"
4.12676327652288e-14,2.58288454294585,0.262,0.051,7.89614885329888e-10,"24","Grk5"
